time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.95275515452e-06,3.79196029113e-06,10.0003576944,0.00131975607042,0.000447389332248,0.0,-0.000112564202067,0.000233628801931,0.0119229037589,0.0114416649898,-0.00862468002944,0.0,408.8610412317476,408.0921121498831,407.0124427729723,408.0349113087158
0.12000000000000001,-2.12154359053e-05,4.91350925931e-05,10.0044429607,0.00214929236031,0.00103896036616,0.0,-0.000604244209112,0.00136966244794,0.124246076615,0.0059283928735,-0.0214232441939,0.0,442.65841930217414,441.6042574157781,439.681250425975,439.2242137347471
0.18,-7.77485501612e-05,0.000176009030076,10.0141581769,0.00272523680842,0.000732220803271,0.0,-0.00126193399023,0.00291208092823,0.199583570617,0.0100075090729,-0.0335265126359,0.0,429.60151747284834,428.5740574489785,428.7962402750948,429.1424563713159
0.23999999999999996,-0.00016392325646,0.000415179355645,10.0310144085,0.00350689436357,6.28259667362,0.0,-0.00145466151214,0.00514312211211,0.362252412437,0.0136225694605,-0.0255435908381,0.0,456.5051846144469,457.1413273158396,455.85765308780253,456.1462586877672
0.3,-0.000232162106717,0.000837403393356,10.0569363157,0.0121521844317,6.28107642298,0.0,-0.000655485448306,0.00989754997122,0.501753154369,-0.0182497336377,-0.0250337171174,0.0,449.8094391732456,449.85061659407245,450.3077096150684,447.72243627602444
0.36000000000000004,-0.000234459191519,0.00163579353301,10.0863160126,0.0116065511279,6.28083349137,0.0,0.000608571470212,0.016677811517,0.477581100842,-0.0276572712758,-0.0138834499888,0.0,395.49454483093297,396.51997498164405,396.0821748768039,395.21609776189354
0.4200000000000001,-0.000152129198708,0.00288339903582,10.1166931973,0.0172383116996,6.28061100812,0.0,0.00214756767162,0.0254773115437,0.534958340091,-0.0584612549612,-0.0237265893386,0.0,423.22707490434146,422.37921885999384,425.3813552126833,422.7348396958113
0.48000000000000015,2.57051271523e-05,0.0047297186148,10.1496845489,0.0169077773092,6.28043467386,0.0,0.00380651620004,0.0360193328463,0.564739532236,-0.0400988998607,-0.0126339197772,0.0,415.0013693313735,415.973730526652,412.4224060623166,414.0387905466838
0.5400000000000001,0.000288139223822,0.00724547448881,10.1865495968,0.0180322214273,0.00364816065272,0.0,0.0043177413742,0.0479751411496,0.664040346519,-0.061916777946,0.0154962947721,0.0,435.18514308812735,437.53310053760345,438.66588856689714,436.84921354951484
0.6000000000000002,0.000447054078437,0.0104878178761,10.2296178175,0.014623272537,0.00943483755821,0.0,0.000356841481487,0.0597576764304,0.77150236226,-0.0692951774408,-0.00987531634166,0.0,440.2757617855597,438.1718220164901,440.61833311285926,440.00492180945304
0.6600000000000003,0.000202178839006,0.0144225941711,10.2834697581,0.010454722268,0.0159465862119,0.0,-0.00929307093682,0.0708806250934,1.02336897844,-0.0701211001646,0.018147185971,0.0,481.9956649239333,484.1085481293628,483.6990156151884,483.6335703993964
0.7200000000000003,-0.000759963252012,0.0189457414326,10.3520843199,0.0122656706114,0.0177973886062,0.0,-0.0229913407565,0.0801455580597,1.26354198341,-0.0982218993388,0.0265843714608,0.0,479.56254992850927,480.2028812043528,482.0286414560622,479.89601896168347
0.7800000000000004,-0.00264386611126,0.0240482279277,10.4364359117,0.00669545323577,0.025211198937,0.0,-0.0407930490308,0.0892062318549,1.54782450745,-0.0930811329416,-0.00106732393199,0.0,495.2319812358236,493.1940357708112,492.66048054055165,493.0334448172596
0.8400000000000004,-0.00558011518434,0.0295120468189,10.5309576215,0.0016299730136,0.0258173444489,0.0,-0.0571303429646,0.0924461319196,1.6028245387,-0.10226723234,0.00678050011055,0.0,424.3427001718878,425.0157623258135,425.42608159126496,424.6305008239127
0.9000000000000005,-0.00955819832799,0.0350714330719,10.6306322225,6.27945298709,0.0269004482259,0.0,-0.0755730616099,0.0922973067568,1.71949100505,-0.09375754365,0.0146685671272,0.0,444.65707522153053,445.30263531956626,444.1775935605935,444.8663549906548
0.9600000000000005,-0.0146964006687,0.0405093409248,10.7384268366,6.27525421218,0.0279791668987,0.0,-0.0958084629823,0.0885213819527,1.87341768036,-0.108097529832,0.0184957197948,0.0,455.8361380080679,456.1417482588232,457.83816512417906,456.6878314433899
1.0200000000000005,-0.0210919071581,0.0456566770053,10.8560808352,6.2800934674,0.0292557176031,0.0,-0.117517824132,0.0835666906314,2.04808306807,-0.0724138098756,0.0126635078096,0.0,464.28306447242124,463.82518845271767,461.3841421452224,464.1851053495401
1.0800000000000005,-0.0288504348117,0.0505853253044,10.9853336914,6.27742883217,0.0301224706278,0.0,-0.141197155642,0.080425507,2.25994598145,-0.0878643482439,0.00768553037797,0.0,475.5656672679889,475.1841084796306,475.38925966332914,474.19956660631084
1.1400000000000006,-0.0378700712331,0.0552895125695,11.1213213288,6.27238538406,0.0313717624907,0.0,-0.159560751541,0.0759274526012,2.27294250674,-0.0836935967078,0.0162844650629,0.0,412.41860603810085,413.177276848362,414.2490226653836,414.6088355947989
1.2000000000000006,-0.0482018570024,0.0595783362097,11.2636435062,6.26947729501,0.0355637845107,0.0,-0.185286000961,0.0667197252648,2.47070310407,-0.100864894961,0.0347626621892,0.0,471.8429057434146,473.2672509199563,471.7971419277867,470.46335098586366
1.2600000000000007,-0.0599459496654,0.063332760312,11.4113679412,6.26549706963,0.0404831050579,0.0,-0.206618563839,0.0580782294491,2.45345831281,-0.0862528069302,0.0150836884559,0.0,405.58149803246965,403.8105404063833,403.40427733064763,404.71269186647606
